Watch_Name,Current_price,MRP_Price,Discount,Delivery_Charge,Stars,Rating,Review
Noise Loop 1.85'' Display with Advanced Bluetooth Calli...,"₹1,099","₹6,999",84% off,Free,4.1,"46,833 Ratings "," 2,969 Reviews"
Fire-Boltt Ninja Pro Max Plus 1.83 Smartwatch,"₹1,099","₹7,999",86% off,Free,4,"1,98,192 Ratings "," 28,282 Reviews"
Fire-Boltt Ninja Talk 1.39'' Round Bluetooth Calling Me...,"₹1,499","₹11,999",87% off,Free,4.1,"3,38,002 Ratings "," 59,656 Reviews"
"Boult Drift BT Calling 1.69"" HD Display, 140+ Watchface...","₹1,399","₹7,999",82% off,Free,4.1,"2,22,425 Ratings "," 16,575 Reviews"
"Boult Drift BT Calling 1.69"" HD Display, 140+ Watchface...","₹1,399","₹7,999",82% off,Free,4.1,"2,22,425 Ratings "," 16,575 Reviews"
Fire-Boltt Ninja Talk 1.39'' Round Bluetooth Calling Me...,"₹1,499","₹11,999",87% off,Free,4.1,"3,38,002 Ratings "," 59,656 Reviews"
"Noise Crew 1.38"" Round Display with Bluetooth Calling, ...","₹1,099","₹4,999",78% off,Free,4.2,"96,488 Ratings "," 6,622 Reviews"
"WTG Kids Calling Smart watch With 4G Support, Live Loca...","₹1,399","₹5,999",76% off,Free,,,
"Melbon T800 Ultra Bluetooth calling, Multiple Watch Fac...",₹899,"₹2,999",70% off,Free,,,
"Fire-Boltt Ultimate 1.39"" Stainless Steel Luxury Blueto...","₹1,499","₹14,999",90% off,Free,4,"73,601 Ratings "," 14,442 Reviews"
"Fire-Boltt Expedition GPS Inbuilt Smart Watch, Bluetoot...","₹2,099","₹21,999",90% off,Free,4.3,"8,205 Ratings "," 1,685 Reviews"
"beatXP Marv Raze 1.96"" Display Bluetooth Calling, Smart...","₹1,099","₹7,499",85% off,,4.1,"26,536 Ratings "," 2,976 Reviews"
"Fastrack Revoltt FS1 Pro|World's First,1.96"" Super AMOL...","₹1,999","₹7,995",74% off,,4.3,"59,328 Ratings "," 5,214 Reviews"
"Boult Drift BT Calling 1.69"" HD Display, 140+ Watchface...","₹1,399","₹7,999",82% off,Free,4.1,"2,22,425 Ratings "," 16,575 Reviews"
"Boult Cosmic R 1.3""HD, BT Calling, 500 Nits, 250+ Watch...","₹1,099","₹5,999",81% off,Free,3.9,"20,426 Ratings "," 1,333 Reviews"
"Boult CrownX 2.0"" HD Screen, BT Calling, Working Crown,...","₹1,699","₹3,999",57% off,Free,4.1,"72,114 Ratings "," 6,839 Reviews"
"Noise Thrive 1.85'' Display with Bluetooth Calling, Mus...",₹999,"₹5,999",83% off,Free,4.1,"26,115 Ratings "," 1,597 Reviews"
"Boult Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brigh...","₹1,399","₹8,499",83% off,Free,4.1,"2,22,425 Ratings "," 16,575 Reviews"
"Cult Active TR 1.52""HD Display,Stainless Steel Build,Wi...","₹1,999","₹9,999",80% off,Free,4.1,815 Ratings , 88 Reviews
"Fastrack Revoltt XR1 1.38"" Round HD Display, SingleSync...","₹1,299","₹3,995",67% off,Free,4.2,"22,678 Ratings "," 1,763 Reviews"
"boAt Ultima Connect Max with 2.0"" HD Display, BT Callin...","₹1,299","₹8,999",85% off,Free,4.1,"4,353 Ratings ", 234 Reviews
"Fastrack Revoltt FS1 Pro|World's First,1.96"" Super AMOL...","₹1,999","₹7,995",74% off,,4.3,"59,328 Ratings "," 5,214 Reviews"
"boAt Storm Call 2 1.83'' HD Display,BT Calling,boAt Coi...","₹1,599","₹7,499",78% off,Free,4.1,"53,436 Ratings "," 3,404 Reviews"
"WTG T55 1.54"" HD Display Bluetooth Calling, Notificatio...",₹664,"₹1,999",66% off,Free,3.2,58 Ratings , 2 Reviews
"PunnkFunnk Men's & Women's make, Answer/reject Calls Mu...",₹759,"₹4,999",84% off,Free,3,20 Ratings , 0 Reviews
Fastrack Revoltt FS1+|2.01'' Biggest UltraVU Display|In...,"₹1,399","₹5,995",76% off,,4.2,"23,838 Ratings "," 1,720 Reviews"
"Noise Crew 1.38"" Round Display with Bluetooth Calling, ...","₹1,099","₹4,999",78% off,Free,4.2,"96,488 Ratings "," 6,622 Reviews"
